PunktacjaID;SkoczekID;KonkursID;Wynik
1;1;1;326.2
2;10;1;315.6
3;23;1;313.2
4;3;1;311.5
5;11;1;310.3
6;2;1;309.7
7;20;1;309.3
8;16;1;298.6
9;6;1;297.9
10;4;1;296.6
11;17;1;293.9
12;44;1;292.6
13;5;1;290.3
14;18;1;290.2
15;14;1;284.3
16;24;1;282.6
17;13;1;282.0
18;40;1;276.9
19;30;1;272.0
20;32;1;272.0
21;28;1;266.8
22;38;1;266.3
23;8;1;265.6
24;57;1;263.2
25;12;1;260.9
26;52;1;258.8
27;22;1;240.2
28;27;1;239.7
29;62;1;233.3
30;37;1;143.2
31;25;1;123.6
32;19;1;120.9
33;7;1;117.4
34;48;1;113.4
35;73;1;110.2
36;31;1;110.0
37;71;1;107.7
38;60;1;107.3
39;66;1;107.1
40;21;1;104.3
41;65;1;102.0
42;35;1;100.1
43;26;1;99.7
44;78;1;93.2
45;79;1;86.9
46;63;1;86.6
47;34;1;82.6
48;43;1;80.7
49;53;1;66.6
50;80;1;60.2
51;1;2;363.5
52;4;2;340.9
53;3;2;334.1
54;10;2;333.8
55;23;2;327.9
56;5;2;324.1
57;11;2;319.5
58;16;2;318.1
59;17;2;317.5
60;24;2;313.2
61;6;2;313.2
62;14;2;312.9
63;2;2;312.4
64;20;2;310.1
65;18;2;301.4
66;13;2;299.9
67;37;2;294.3
68;40;2;289.6
69;44;2;286.9
70;21;2;281.9
71;25;2;281.1
72;38;2;279.0
73;28;2;277.6
74;35;2;272.5
75;43;2;270.0
76;7;2;269.4
77;30;2;268.7
78;66;2;264.9
79;31;2;247.2
80;42;2;222.9
81;62;2;134.9
82;32;2;134.7
83;56;2;132.3
84;8;2;130.5
85;48;2;130.1
86;27;2;129.8
87;41;2;129.1
88;73;2;128.5
89;52;2;124.9
90;57;2;120.6
91;22;2;119.7
92;53;2;116.4
93;65;2;116.1
94;60;2;113.0
95;34;2;110.8
96;12;2;104.4
97;71;2;100.6
98;63;2;99.7
99;72;2;87.5
100;50;2;74.4
101;19;3;116.9
102;27;3;118.2
103;66;3;111.0
104;3;3;291.7
105;63;3;250.1
106;40;3;116.9
107;14;3;278.8
108;43;3;119.2
109;38;3;116.3
110;15;3;258.8
111;11;3;287.3
112;28;3;121.3
113;53;3;119.8
114;65;3;120.7
